source_key,source_table,parquet_name,rows,status,error,written_at
caixa_001_2011_06_junho_presidencia.csv,caixa_001_2011_06_junho_presidencia,caixa_001_2011_06_junho_presidencia.parquet,11128,success,,2026-08-31T12:13:18.355007+00:00
caixa_001_2011_07_julho_presidencia_automatizado_01082011.csv,caixa_001_2011_07_julho_presidencia_automatizado_01082011,caixa_001_2011_07_julho_presidencia_automatizado_01082011.parquet,11128,success,,2026-08-31T12:13:19.386545+00:00
caixa_001_2011_08_agosto_demanda_mc_far_pmcmv.csv,caixa_001_2011_08_agosto_demanda_mc_far_pmcmv,caixa_001_2011_08_agosto_demanda_mc_far_pmcmv.parquet,2610,success,,2026-08-31T12:13:27.936378+00:00
bb_2019_2019_05_07_pf_pf.csv,bb_2019_2019_05_07_pf_pf,bb_2019_2019_05_07_pf_pf.parquet,261114,success,,2026-08-31T12:14:30.067819+00:00
caixa_001_2011_11_novembro_relat_rio_executivo_mcid_21_11_11.csv,caixa_001_2011_11_novembro_relat_rio_executivo_mcid_21_11_11,caixa_001_2011_11_novembro_relat_rio_executivo_mcid_21_11_11.parquet,13684,success,,2026-08-31T12:14:39.518693+00:00
caixa_001_2012_04_abril_2012_04_18_5b1_base_empreend_contratado.csv,caixa_001_2012_04_abril_2012_04_18_5b1_base_empreend_contratado,caixa_001_2012_04_abril_2012_04_18_5b1_base_empreend_contratado.parquet,7954,success,,2026-08-31T12:14:43.806949+00:00
caixa_001_2011_08_agosto_presidencia_automatizado_mcmvii_082011.csv,caixa_001_2011_08_agosto_presidencia_automatizado_mcmvii_082011,caixa_001_2011_08_agosto_presidencia_automatizado_mcmvii_082011.parquet,11128,success,,2026-08-31T12:14:44.206558+00:00
caixa_001_2012_04_abril_2012_04_18_5b_empreend_contratado.csv,caixa_001_2012_04_abril_2012_04_18_5b_empreend_contratado,caixa_001_2012_04_abril_2012_04_18_5b_empreend_contratado.parquet,6272,success,,2026-08-31T12:14:52.587567+00:00
caixa_001_2012_04_abril_2012_04_18_rural_18042012.csv,caixa_001_2012_04_abril_2012_04_18_rural_18042012,caixa_001_2012_04_abril_2012_04_18_rural_18042012.parquet,2884,success,,2026-08-31T12:14:53.086622+00:00
caixa_001_2012_04_abril_2012_04_30_ajustada_caixa_5d_base_bext.csv,caixa_001_2012_04_abril_2012_04_30_ajustada_caixa_5d_base_bext,caixa_001_2012_04_abril_2012_04_30_ajustada_caixa_5d_base_bext.parquet,6942,success,,2026-08-31T12:14:59.340651+00:00
caixa_001_2012_04_abril_validacao_1604_1804.csv,caixa_001_2012_04_abril_validacao_1604_1804,caixa_001_2012_04_abril_validacao_1604_1804.parquet,6210,success,,2026-08-31T12:15:12.444798+00:00
caixa_001_2012_05_maio_5b1__base_empreend_contratado.csv,caixa_001_2012_05_maio_5b1__base_empreend_contratado,caixa_001_2012_05_maio_5b1__base_empreend_contratado.parquet,7954,success,,2026-08-31T12:15:32.223879+00:00
caixa_001_2012_07_julho_bases_relat_rio_executivo_24_07_12.csv,caixa_001_2012_07_julho_bases_relatório_executivo_24_07_12,caixa_001_2012_07_julho_bases_relatório_executivo_24_07_12.parquet,79,success,,2026-08-31T12:15:32.550524+00:00
caixa_001_2012_07_julho_bases_relat_rio_executivo_31072012_v2.csv,caixa_001_2012_07_julho_bases_relatório_executivo_31072012_v2,caixa_001_2012_07_julho_bases_relatório_executivo_31072012_v2.parquet,16436,success,,2026-08-31T12:15:52.580057+00:00
caixa_001_2012_07_julho_bases_relat_rio_executivo_31_07_12.csv,caixa_001_2012_07_julho_bases_relatório_executivo_31_07_12,caixa_001_2012_07_julho_bases_relatório_executivo_31_07_12.parquet,16408,success,,2026-08-31T12:17:13.158219+00:00
caixa_001_2012_04_abril_2012_04_18_5c1__base_contrata__o_pf.csv,caixa_001_2012_04_abril_2012_04_18_5c1__base_contrata__o_pf,caixa_001_2012_04_abril_2012_04_18_5c1__base_contrata__o_pf.parquet,30184,success,,2026-08-31T12:17:35.854208+00:00
