"source_table","content_hash","file_size","canonical_table","is_duplicate"
caixa_001_2012_09_setembro_pmcmv_relatório_executivo_30092012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_09_setembro_rel_executivo_resumo_15092012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_09_setembro_rel_executivo_resumo_26092012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_10_outubro_bases_relatório_executivo_31102012,ff533e8817459d1acb4ef1dc1ce53188,18738,caixa_001_2012_10_outubro_bases_relatório_executivo_31102012,false
caixa_001_2012_10_outubro_pmcmv_relatório_executivo_31102012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_10_outubro_rel_executivo_resumo_31102012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_11_novembro_bases_relat_rio_executivo_12112012,cfc04f8a319642dafb3a4db7fce1a8fa,19036,caixa_001_2012_11_novembro_bases_relat_rio_executivo_12112012,false
caixa_001_2012_11_novembro_bases_relatório_executivo_28112012,ef7726bf1e87cf623b0f6484abb4a83b,19398,caixa_001_2012_11_novembro_bases_relatório_executivo_28112012,false
caixa_001_2012_11_novembro_pmcmv_relat_rio_executivo_12112012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_11_novembro_pmcmv_relatório_executivo_28112012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_12_dezembro_bases_relatório_executivo_21122012,"9e47fd29b8273701332e52a949c119dd",20092,caixa_001_2012_12_dezembro_bases_relatório_executivo_21122012,false
caixa_001_2012_12_dezembro_bases_relatório_executivo_31122012,c4017768206ac2181bcc5d9af0702478,20904,caixa_001_2012_12_dezembro_bases_relatório_executivo_31122012,false
