key,layer,extension,size_bytes,size_mb,last_modified,year_hint,tags_preditive,score_preditivo
raw/EMENTARIO  DEMAIS LEGISLAÇσES_0000.xls,raw,xls,19968,0.019,2026-07-03T08:31:38.307000+00:00,,,0
raw/EMENTARIO  DEMAIS LEGISLAÇσES_0001.xls,raw,xls,19968,0.019,2026-07-03T08:31:39.169000+00:00,,,0
raw/EMENTARIO  DEMAIS LEGISLAÇσES_0002.xls,raw,xls,19968,0.019,2026-07-03T08:31:39.468000+00:00,,,0
audit/staging/execution_id=f0d408ff5fa84560a82e5214f9e78559/part-0.parquet,audit,parquet,18702,0.018,2026-08-10T19:56:41.309000+00:00,,,0
audit/staging/execution_id=e07a05513e0f4355802f53964ec09df5/part-0.parquet,audit,parquet,18151,0.017,2026-07-17T00:47:41.663000+00:00,,,0
audit/staging/execution_id=da6f3f361f5f4938a7dc01b04230233e/part-0.parquet,audit,parquet,17466,0.017,2026-08-10T19:56:57.701000+00:00,,,0
raw/PMCMV_CIDADES_MCID_2026_01_06.csv,raw,csv,16319,0.016,2026-07-02T20:20:53.831000+00:00,2026.0,,0
audit/masking/execution_id=0747a9b9f0f740959e375ff6bdec3436/part-0.parquet,audit,parquet,15624,0.015,2026-08-10T19:44:45.124000+00:00,,,0
audit/masking/execution_id=36ef0f99b2404061ad2405764a7425b6/part-0.parquet,audit,parquet,14759,0.014,2026-08-10T19:36:10.674000+00:00,,,0
audit/masking/execution_id=f5a450b7507b40fd879733919765c1ad/part-0.parquet,audit,parquet,14741,0.014,2026-08-10T19:38:16.595000+00:00,,,0
staging/PMCMV_CIDADES_MCID_2026_07_01.xlsx.parquet,staging,parquet,14695,0.014,2026-07-17T02:49:37.523000+00:00,2026.0,,0
raw/EMENTARIO PORTARIA.xls,raw,xls,14336,0.014,2026-07-03T08:31:38.147000+00:00,,,0
raw/EMENTARIO PORTARIA_0001.xls,raw,xls,14336,0.014,2026-07-03T08:31:39.314000+00:00,,,0
staging/dados_historicos/_classificacao.parquet,staging,parquet,13861,0.013,2026-07-17T05:13:15.650000+00:00,,,0
audit/staging/execution_id=d8d2de95e9034a4ba6a13bd7b9421ce2/part-0.parquet,audit,parquet,13361,0.013,2026-07-17T00:37:08.560000+00:00,,,0
audit/masking/execution_id=3fdc0437c8bc4f268644e517a552d279/part-0.parquet,audit,parquet,12328,0.012,2026-08-10T19:52:01.763000+00:00,,,0
audit/masking/execution_id=13566b74fc5049b9b5e98d560cb5a7f3/part-0.parquet,audit,parquet,12242,0.012,2026-08-10T19:51:00.784000+00:00,,,0
