escopo,tipo,arquivo_origem,caminho_relativo,nome,extensao,categoria,tamanho_bytes,modificado_em,periodo_inferido,fonte_inferida,frente_inferida,frente_primaria,detalhe_estrutura,erro
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_26-05-2025 M.zip,FNHIS_SEMANAL_26-05-2025 M.xls,FNHIS_SEMANAL_26-05-2025 M.xls,.xls,dado_tabular_ou_serializado,1658880,2025-05-26T13:45:38+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_28-04-2025.zip,FNHIS_SEMANAL_28-04-2025.xls,FNHIS_SEMANAL_28-04-2025.xls,.xls,dado_tabular_ou_serializado,2022912,2025-04-28T13:34:10+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_28-07-2025.xls G.zip,FNHIS_SEMANAL_28-07-2025.xls G.xls,FNHIS_SEMANAL_28-07-2025.xls G.xls,.xls,dado_tabular_ou_serializado,2023424,2025-07-28T11:15:12+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_31-03-2025.zip,FNHIS_SEMANAL_31-03-2025.xls,FNHIS_SEMANAL_31-03-2025.xls,.xls,dado_tabular_ou_serializado,2025472,2025-03-31T09:54:30+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_09_01.zip,FNHIS_SEMANAL_GIGOV_2025_09_01.xls,FNHIS_SEMANAL_GIGOV_2025_09_01.xls,.xls,dado_tabular_ou_serializado,1695232,2025-09-01T10:20:42+00:00,2025-09,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_09_08.zip,FNHIS_SEMANAL_GIGOV_2025_09_08.xls,FNHIS_SEMANAL_GIGOV_2025_09_08.xls,.xls,dado_tabular_ou_serializado,1695744,2025-09-08T11:27:58+00:00,2025-09,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_09_15.zip,FNHIS_SEMANAL_GIGOV_2025_09_15.xlt,FNHIS_SEMANAL_GIGOV_2025_09_15.xlt,.xlt,outro,1695232,2025-09-15T11:17:20+00:00,2025-09,nao_identificada,sub50_fnhis,sub50_fnhis,,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_09_22.zip,FNHIS_SEMANAL_GIGOV_2025_09_22.xls,FNHIS_SEMANAL_GIGOV_2025_09_22.xls,.xls,dado_tabular_ou_serializado,1695232,2025-09-22T10:15:44+00:00,2025-09,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_10_06.zip,FNHIS_SEMANAL_GIGOV_2025_10_06.xls,FNHIS_SEMANAL_GIGOV_2025_10_06.xls,.xls,dado_tabular_ou_serializado,1610240,2025-10-06T11:25:48+00:00,2025-10,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_10_13.zip,FNHIS_SEMANAL_GIGOV_2025_10_13.xls,FNHIS_SEMANAL_GIGOV_2025_10_13.xls,.xls,dado_tabular_ou_serializado,1689088,2025-10-13T10:51:34+00:00,2025-10,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_10_20.zip,FNHIS_SEMANAL_GIGOV_2025_10_20.xls,FNHIS_SEMANAL_GIGOV_2025_10_20.xls,.xls,dado_tabular_ou_serializado,1689088,2025-10-20T12:03:42+00:00,2025-10,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_10_27.zip,FNHIS_SEMANAL_GIGOV_2025_10_27.xls,FNHIS_SEMANAL_GIGOV_2025_10_27.xls,.xls,dado_tabular_ou_serializado,1689088,2025-10-27T11:42:56+00:00,2025-10,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_11_03.zip,FNHIS_SEMANAL_GIGOV_2025_11_03 OK.xls,FNHIS_SEMANAL_GIGOV_2025_11_03 OK.xls,.xls,dado_tabular_ou_serializado,1689088,2025-11-03T16:00:18+00:00,2025-11,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_11_10.zip,FNHIS_SEMANAL_GIGOV_2025_11_10.xls,FNHIS_SEMANAL_GIGOV_2025_11_10.xls,.xls,dado_tabular_ou_serializado,1695232,2025-11-10T15:33:28+00:00,2025-11,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
