fonte_familia,chave_natural,motivo,evidencia
bext,100112583,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,100112584,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,100112591,valor_negativo_repetido,min R$ -0.1 mi em 5/20 snapshots
bext,100112659,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,100113079,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,100113080,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,100113084,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,100114510,valor_por_uh_extremo,R$/UH ate R$ 13.0 mi (1 UH; mediana familia R$ 28 k)
bext,100114514,valor_por_uh_extremo,R$/UH ate R$ 16.4 mi (1 UH; mediana familia R$ 28 k)
bext,100114521,valor_por_uh_extremo,R$/UH ate R$ 13.3 mi (1 UH; mediana familia R$ 28 k)
bext,100206061,valor_por_uh_extremo,R$/UH ate R$ 7.6 mi (1 UH; mediana familia R$ 28 k)
bext,100206093,valor_por_uh_extremo,R$/UH ate R$ 8.6 mi (1 UH; mediana familia R$ 28 k)
bext,100314053,valor_por_uh_extremo,R$/UH ate R$ 11.7 mi (1 UH; mediana familia R$ 28 k)
bext,100314054,valor_por_uh_extremo,R$/UH ate R$ 9.2 mi (1 UH; mediana familia R$ 28 k)
bext,100607653,valor_por_uh_extremo,R$/UH ate R$ 16.7 mi (1 UH; mediana familia R$ 28 k)
bext,100607663,valor_por_uh_extremo,R$/UH ate R$ 14.5 mi (1 UH; mediana familia R$ 28 k)
bext,100607666,valor_por_uh_extremo,R$/UH ate R$ 12.6 mi (1 UH; mediana familia R$ 28 k)
bext,100911252,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,100911297,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,100911351,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,100911596,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,1015035,valor_negativo_repetido,min R$ -28.9 mi em 6/20 snapshots
bext,10310097,valor_por_uh_extremo,R$/UH ate R$ 11.2 mi (1 UH; mediana familia R$ 28 k)
bext,103804347,valor_por_uh_extremo,R$/UH ate R$ 9.0 mi (1 UH; mediana familia R$ 28 k)
bext,104107083,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,104107097,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,104107206,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,104107321,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,10411810,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10411823,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10411855,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,10411954,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10412825,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10412841,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10412851,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10412855,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10412857,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10412858,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10412869,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,10412872,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10412873,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10412878,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10412884,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10412885,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10412886,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10412888,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10412889,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10412890,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10412891,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10412894,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10412899,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10412900,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10412901,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10412902,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10412906,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10412910,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,10412912,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10412917,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10412925,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10412929,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10412933,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10412958,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10413007,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10413009,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10413013,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,10413017,valor_negativo_repetido,min R$ -0.1 mi em 14/20 snapshots
bext,10413019,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413027,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413028,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413034,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413037,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10413043,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10413053,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413054,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10413073,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10413079,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413085,valor_negativo_repetido,min R$ -0.1 mi em 6/20 snapshots
bext,10413086,valor_negativo_repetido,min R$ -0.1 mi em 14/20 snapshots
bext,10413089,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413095,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10413096,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413102,valor_negativo_repetido,min R$ -0.1 mi em 14/20 snapshots
bext,10413106,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413108,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413110,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10413112,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413132,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413133,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413134,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10413141,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10413143,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413149,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413150,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413156,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10413157,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,10413171,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413172,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413173,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10413183,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10413184,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413186,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10413208,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,10413209,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413220,valor_negativo_repetido,min R$ -0.1 mi em 14/20 snapshots
bext,10413221,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10413245,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10413248,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413254,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413265,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10413268,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413288,valor_negativo_repetido,min R$ -0.1 mi em 14/20 snapshots
bext,10413290,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413310,valor_negativo_repetido,min R$ -0.1 mi em 5/20 snapshots
bext,10413311,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,10413318,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413319,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413320,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413322,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413323,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10413344,valor_negativo_repetido,min R$ -0.1 mi em 6/20 snapshots
bext,10413350,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10413355,valor_negativo_repetido,min R$ -0.1 mi em 14/20 snapshots
bext,10413357,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10413359,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413362,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,10413369,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413370,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,10413376,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413379,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,10413388,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413392,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413394,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,10413396,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413397,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413398,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413399,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10413400,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10413401,valor_negativo_repetido,min R$ -0.1 mi em 15/20 snapshots
bext,10413405,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413407,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10413411,valor_negativo_repetido,min R$ -0.1 mi em 14/20 snapshots
bext,10413416,valor_negativo_repetido,min R$ -0.1 mi em 14/20 snapshots
bext,10413425,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413426,valor_negativo_repetido,min R$ -0.1 mi em 6/20 snapshots
bext,10413444,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,10413446,valor_negativo_repetido,min R$ -0.1 mi em 6/20 snapshots
bext,10413451,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10413458,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10413459,valor_negativo_repetido,min R$ -0.1 mi em 6/20 snapshots
bext,10413460,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413465,valor_negativo_repetido,min R$ -0.1 mi em 6/20 snapshots
bext,10413469,valor_negativo_repetido,min R$ -0.1 mi em 14/20 snapshots
bext,10413470,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10413474,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413475,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413476,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10413477,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413482,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,10413483,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10413486,valor_negativo_repetido,min R$ -0.1 mi em 14/20 snapshots
bext,10413488,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10413492,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413508,valor_negativo_repetido,min R$ -0.0 mi em 13/20 snapshots
bext,10413514,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413517,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413526,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,10413530,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,10413556,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,10413563,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,10413578,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,10413581,valor_negativo_repetido,min R$ -0.1 mi em 16/20 snapshots
bext,10413584,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
