dataset_id,schema,table_name,dataset_front,sample_term,sharepoint_content_match,sharepoint_match_count,sharepoint_examples
89,empreendimento_rural,mapa_nacional_rural,rural,Centro-Oeste,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Lista Selecionadas_Autorizadas MCMV-Rural_20240220.xlsx
89,empreendimento_rural,mapa_nacional_rural,rural,Espírito Santo,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Lista Selecionadas_Autorizadas MCMV-Rural_20240220.xlsx
90,empreendimento_rural,perfil_beneficiarios,rural,63733539,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_RURAL_20251224_101226.CSV
90,empreendimento_rural,perfil_beneficiarios,rural,SAO BRAS,True,2,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Lista Selecionadas_Autorizadas MCMV-Rural_20240220.xlsx | OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_RURAL_20251224_101226.CSV
90,empreendimento_rural,perfil_beneficiarios,rural,São Brás,True,2,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Lista Selecionadas_Autorizadas MCMV-Rural_20240220.xlsx | OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_RURAL_20251224_101226.CSV
90,empreendimento_rural,perfil_beneficiarios,rural,NOVO MCMV RURAL,False,0,
90,empreendimento_rural,perfil_beneficiarios,rural,63731717,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_RURAL_20251224_101226.CSV
90,empreendimento_rural,perfil_beneficiarios,rural,IGREJA NOVA,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_RURAL_20251224_101226.CSV
90,empreendimento_rural,perfil_beneficiarios,rural,Igreja Nova,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_RURAL_20251224_101226.CSV
90,empreendimento_rural,perfil_beneficiarios,rural,63733206,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_RURAL_20251224_101226.CSV
90,empreendimento_rural,perfil_beneficiarios,rural,PORTO COLEGIO,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_RURAL_20251224_101226.CSV
90,empreendimento_rural,perfil_beneficiarios,rural,Porto Real do Colégio,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Lista Selecionadas_Autorizadas MCMV-Rural_20240220.xlsx
91,empreendimento_rural,infraestrutura_agua_saneamento,rural,02443448,False,0,
91,empreendimento_rural,infraestrutura_agua_saneamento,rural,1681 - CAPRICHANDO A MORADA II,False,0,
91,empreendimento_rural,infraestrutura_agua_saneamento,rural,Presidente Tancredo Neves,False,0,
91,empreendimento_rural,infraestrutura_agua_saneamento,rural,PNHR (HISTÓRICO),False,0,
91,empreendimento_rural,infraestrutura_agua_saneamento,rural,01420205,False,0,
91,empreendimento_rural,infraestrutura_agua_saneamento,rural,964 - CIST - AVELINO LOPES,False,0,
91,empreendimento_rural,infraestrutura_agua_saneamento,rural,Avelino Lopes,False,0,
91,empreendimento_rural,infraestrutura_agua_saneamento,rural,02176499,False,0,
91,empreendimento_rural,infraestrutura_agua_saneamento,rural,1702 - PA SEBASTIAO DA MAIA -,False,0,
91,empreendimento_rural,infraestrutura_agua_saneamento,rural,Querência do Norte,False,0,
